experience,skills_score,aptitude_score,coding_speed_sec,sys_design_score,hire
8,87,52,2765,3,1
4,32,61,2931,10,1
5,49,64,3182,4,1
11,95,70,2291,10,1
11,52,37,884,8,1
11,57,41,142,5,1
11,62,65,561,6,1
3,22,77,1682,2,0
10,62,79,2714,6,1
9,92,35,1963,7,1
6,90,75,3397,2,1
11,23,84,2072,4,1
8,51,60,540,8,1
6,20,55,1682,7,1
0,32,96,3156,3,0
0,55,38,2207,9,1
8,45,36,2588,2,1
10,96,44,3155,5,1
8,41,100,2228,3,1
3,30,37,1895,8,1
12,44,68,2870,8,1
8,98,40,2703,5,1
2,64,78,688,4,1
6,55,32,2936,9,1
5,53,88,909,3,1
7,53,57,2357,3,1
10,51,71,1728,5,1
8,44,76,186,4,1
4,86,39,949,10,1
0,78,60,726,7,1
2,76,91,3295,1,1
9,48,50,2982,7,1
11,40,87,1788,1,1
7,92,34,1260,10,1
10,40,35,1769,1,1
5,90,92,3348,1,1
7,66,84,1275,6,1
8,51,83,1869,5,1
3,41,79,3558,10,1
0,61,90,1495,9,1
0,30,84,1442,7,0
9,77,44,354,5,1
3,97,64,360,1,1
11,60,93,1755,10,1
6,44,62,2615,1,1
1,35,76,2795,3,0
2,85,44,726,4,1
0,89,47,2593,6,1
4,53,51,3327,1,0
0,65,32,2724,7,1
7,67,31,2420,1,1
0,56,72,3001,4,0
10,41,74,1444,5,1
0,99,38,3364,4,1
1,26,73,1000,9,1
1,66,67,906,10,1
11,96,46,2896,1,1
5,36,88,844,5,1
6,22,79,1214,2,1
4,31,91,809,2,1
0,89,39,2610,10,1
0,95,53,2759,1,0
2,94,89,1714,4,1
1,38,37,193,2,0
4,50,48,3248,10,1
11,21,40,1025,10,1
9,37,73,3432,1,1
5,74,42,1991,1,1
6,23,31,2592,2,0
3,41,78,2703,4,1
6,97,92,1957,3,1
10,97,96,3413,6,1
7,53,46,1920,2,1
10,67,63,3600,4,1
0,89,72,2427,2,0
5,95,64,2189,5,1
7,43,75,2058,10,1
4,64,87,3429,5,1
3,29,85,1323,10,1
1,65,71,323,6,1
5,55,45,1011,10,1
5,70,88,3097,9,1
10,51,67,1503,6,1
0,51,55,783,2,0
8,34,51,1833,2,1
11,28,53,3286,8,1
10,77,91,3496,5,1
5,55,61,2399,5,1
12,41,94,2037,6,1
2,32,59,3330,3,0
3,60,42,645,4,1
11,97,78,1071,6,1
10,45,81,432,10,1
3,80,41,969,5,1
2,63,65,1481,7,1
9,49,85,3437,4,1
2,96,93,1901,4,1
2,56,30,2374,7,1
3,77,50,1018,9,1
6,54,44,1813,1,1
3,68,89,3062,9,1
8,78,44,1780,2,1
0,26,42,853,2,0
7,54,79,3013,3,1
6,58,60,1981,3,1
1,25,46,3374,3,0
7,97,98,3496,3,1
0,84,93,199,1,1
10,46,30,2105,9,1
11,30,69,1931,5,1
8,28,54,2540,6,1
8,29,100,2806,6,1
1,73,79,1811,6,1
6,62,69,2602,8,1
9,69,56,994,4,1
2,65,40,3181,7,0
6,82,40,2035,4,1
11,68,79,1034,10,1
9,50,98,382,4,1
8,82,44,884,7,1
3,27,67,3137,6,0
11,59,98,499,5,1
0,79,56,645,9,1
1,70,38,1435,7,1
0,24,81,1733,4,0
11,50,62,3522,8,1
4,26,46,2578,4,0
4,64,61,2626,8,1
10,66,58,276,8,1
6,33,55,1717,4,1
8,44,60,2713,1,1
8,66,51,2141,7,1
2,65,45,2202,2,0
2,64,59,2119,9,1
2,50,40,3245,2,0
3,71,77,2533,5,1
7,23,45,3112,7,1
5,65,90,2988,9,1
7,48,31,380,5,1
0,68,44,2599,1,0
7,84,53,3195,9,1
3,20,65,998,8,1
10,87,95,833,4,1
0,78,76,3372,2,1
7,56,59,1735,8,1
3,97,39,1415,5,1
5,71,67,2302,1,1
7,97,35,2765,2,1
3,21,77,3128,2,0
2,40,80,3434,7,1
8,48,47,1625,10,1
2,95,56,1340,4,1
8,57,85,1290,7,1
12,51,38,3405,5,1
1,60,87,184,8,1
1,41,49,181,3,1
1,61,56,895,5,1
5,31,61,1024,8,1
2,76,41,3102,5,1
12,27,66,2183,9,1
8,47,42,1808,3,1
3,76,39,1192,8,1
0,72,43,2958,2,0
3,99,57,2530,10,1
0,95,44,1538,3,1
4,36,30,1863,4,0
3,40,60,3486,5,1
7,70,98,3173,5,1
7,26,33,1082,9,1
6,80,77,3407,8,1
2,73,57,3365,1,0
0,60,90,2491,8,1
0,79,98,2944,9,1
11,63,96,2306,4,1
10,96,49,1825,8,1
2,48,60,2276,6,1
5,62,40,1058,5,1
6,56,97,1838,8,1
5,80,30,1650,3,1
5,78,77,3596,1,1
5,80,54,1618,10,1
12,91,74,621,1,1
2,39,32,1022,6,1
5,63,33,200,3,1
7,75,32,3341,10,1
10,67,64,2066,8,1
10,93,79,1367,5,1
1,34,93,3046,7,1
4,95,70,826,6,1
0,75,34,322,6,1
11,75,96,1434,6,1
0,65,59,1695,3,0
4,76,32,3283,5,1
11,64,42,1366,3,1
12,99,95,2296,8,1
2,61,68,3447,2,0
3,81,78,1111,1,1
2,27,58,3585,4,0
0,33,100,1494,4,1
0,45,65,2950,10,1
11,60,93,1297,4,1
11,48,52,2873,7,1
12,82,36,607,1,1
4,32,96,1413,6,1
5,78,88,1572,7,1
2,66,73,1276,3,1
11,40,47,186,7,1
8,31,59,1731,1,1
4,43,85,709,1,1
7,40,39,2320,3,1
12,23,81,2657,7,1
0,44,58,1374,2,0
4,27,99,2067,4,1
2,55,98,1728,2,1
11,53,50,389,5,1
0,69,33,955,8,1
3,47,35,2470,4,1
12,81,73,2583,5,1
4,93,96,2400,3,1
6,63,94,3334,2,1
0,51,66,145,7,1
2,27,56,1610,1,0
1,73,74,2192,2,0
8,36,74,3465,2,1
9,31,64,661,7,1
5,86,34,3068,9,1
9,94,30,1538,7,1
2,97,61,3225,2,1
7,90,33,575,1,1
7,45,95,3421,10,1
1,52,79,3379,7,1
5,63,75,2994,6,1
6,51,96,1066,7,1
1,57,37,1272,8,1
10,29,54,1901,10,1
9,98,55,2669,10,1
1,98,96,1709,8,1
9,89,84,815,1,1
0,20,37,2700,4,0
7,89,50,2861,8,1
0,96,94,2706,5,1
8,94,91,3177,9,1
10,44,67,3190,1,1
5,71,83,1543,2,1
6,71,56,2916,4,1
12,31,35,2135,4,1
9,65,96,3123,9,1
6,28,45,2013,7,1
9,64,96,3276,10,1
2,55,92,1981,1,0
1,28,42,1692,3,0
8,59,66,120,8,1
7,53,32,2239,2,0
12,72,46,1904,1,1
11,64,81,3427,5,1
9,52,70,1000,5,1
6,48,60,2974,9,1
8,57,91,1604,8,1
3,67,79,2423,10,1
12,96,40,2684,1,1
3,78,91,1934,3,1
0,81,47,3245,4,0
7,54,40,590,1,1
11,66,48,1283,10,1
2,78,46,3032,5,1
6,78,41,856,10,1
11,21,95,1644,8,1
1,79,69,2945,6,1
1,25,82,2669,1,0
6,44,73,1174,10,1
5,72,60,1537,1,1
2,97,68,1587,6,1
8,23,75,1948,10,1
9,91,64,1319,10,1
12,75,92,3148,5,1
5,21,95,2170,8,1
9,36,33,1549,3,1
9,87,82,769,8,1
5,67,88,3029,6,1
0,46,95,656,10,1
3,53,85,2691,3,1
9,60,65,2596,5,1
5,25,89,1273,7,1
5,25,45,3459,3,0
10,47,42,1407,8,1
11,27,85,2806,5,1
4,20,90,2400,6,1
0,99,36,594,1,1
7,37,56,2081,1,1
4,99,89,1190,10,1
11,66,91,941,4,1
11,99,70,1092,3,1
11,30,49,1875,10,1
4,25,46,1344,2,1
6,33,99,2099,2,1
3,41,77,1450,4,1
5,50,37,1795,7,1
12,47,56,1377,9,1
3,38,71,3489,5,1
2,20,39,3086,4,0
6,86,70,2956,5,1
7,91,66,2244,10,1
3,32,32,1450,4,0
12,70,88,804,1,1
1,20,47,1350,7,0
11,48,97,3210,2,1
9,32,40,2245,7,1
2,61,60,2665,8,1
0,48,94,883,6,1
7,35,49,1642,6,1
2,79,86,1507,8,1
11,53,51,1200,3,1
9,59,62,2200,4,1
6,86,36,1238,3,1
9,74,63,527,8,1
4,77,79,1737,10,1
9,71,74,1379,3,1
4,83,76,3107,7,1
6,23,89,914,1,1
8,67,58,205,10,1
11,91,30,2113,1,1
4,37,89,299,7,1
0,29,82,2496,2,0
9,33,41,3500,7,1
9,70,70,688,7,1
0,65,90,3416,4,1
1,85,51,3375,7,1
5,80,79,881,10,1
8,21,67,2245,1,1
7,54,34,336,2,1
12,53,98,2881,10,1
4,89,67,2469,10,1
0,87,68,1459,1,1
12,84,55,2442,6,1
6,54,34,733,6,1
4,67,52,1010,6,1
5,66,64,3214,9,1
12,30,86,170,3,1
6,81,92,997,4,1
2,23,64,1747,2,0
11,52,57,2362,4,1
9,53,63,1461,3,1
2,93,57,2846,7,1
4,54,93,1472,10,1
5,72,44,242,10,1
8,47,92,1708,4,1
12,42,77,1748,7,1
11,68,30,2837,7,1
4,95,32,3230,8,1
0,21,54,2899,3,0
3,96,68,3076,6,1
4,45,38,3570,4,0
11,36,55,1199,2,1
9,62,45,2016,2,1
9,78,92,1772,10,1
4,85,58,2595,5,1
6,93,94,2584,4,1
3,58,55,1925,2,1
0,45,60,411,1,0
4,41,90,3249,6,1
6,94,31,1379,6,1
9,41,41,1502,1,1
9,77,32,1143,9,1
5,48,61,3331,4,1
4,29,43,1669,7,1
3,44,73,1941,6,1
1,40,69,2506,3,0
3,80,57,1550,7,1
9,58,41,713,4,1
9,96,86,1656,6,1
2,85,42,3556,7,1
9,25,63,2412,3,1
0,20,75,1374,8,1
7,47,91,536,1,1
4,30,42,915,4,1
12,58,41,3375,3,1
3,88,82,1150,8,1
7,37,50,394,3,1
6,39,82,2993,3,1
1,95,60,2754,10,1
0,77,84,821,6,1
11,69,96,2812,4,1
10,60,95,874,1,1
3,37,31,120,1,0
7,53,76,1154,2,1
11,85,77,1589,7,1
1,97,55,1450,1,1
2,84,40,386,2,1
11,46,72,3241,7,1
0,49,51,2116,8,1
0,95,96,3235,9,1
12,20,62,3341,8,1
2,60,94,679,3,1
10,81,79,794,1,1
4,20,39,1698,4,0
11,24,59,3236,6,1
2,67,77,2455,9,1
0,24,88,2418,9,1
0,90,54,2583,2,0
7,45,44,728,9,1
9,68,81,1267,9,1
10,89,91,3235,3,1
11,80,82,1545,1,1
12,22,87,2004,10,1
12,58,46,2052,4,1
11,97,45,380,8,1
1,68,31,1626,9,1
12,33,42,3044,8,1
2,39,98,3424,1,0
1,77,85,3204,1,0
2,63,58,1609,10,1
6,28,86,383,1,1
0,82,72,890,3,1
9,81,53,1516,9,1
7,25,52,3347,6,1
12,85,46,1706,1,1
9,62,52,654,1,1
9,83,99,470,1,1
9,63,68,3482,7,1
1,24,31,3430,1,0
2,32,79,769,4,1
8,34,96,3216,2,1
6,53,76,1377,6,1
3,75,40,2773,8,1
9,92,68,835,10,1
4,49,75,2324,1,0
1,75,92,3107,3,1
12,44,68,3147,2,1
10,87,41,744,9,1
12,66,33,214,1,1
7,47,81,2103,6,1
3,56,35,381,4,1
8,93,84,1674,6,1
4,92,44,3279,3,1
12,55,69,1948,10,1
8,20,81,1859,3,1
3,94,46,1773,4,1
9,44,100,1505,5,1
4,94,70,2485,1,1
8,60,35,2929,8,1
7,74,51,3069,6,1
2,88,74,2004,9,1
0,76,42,2636,6,0
2,22,98,2998,6,1
3,27,33,324,10,1
1,67,96,1730,1,1
0,78,53,1751,1,0
6,55,84,3255,8,1
7,74,80,1388,7,1
6,98,44,3134,2,1
4,96,71,1033,1,1
11,60,100,790,8,1
0,93,45,1148,6,1
6,78,97,1791,5,1
12,53,62,2085,5,1
6,49,54,142,8,1
8,81,33,1191,3,1
2,89,44,1042,6,1
8,74,41,2020,3,1
0,100,65,2573,9,1
0,41,69,1332,2,0
3,41,31,2676,9,1
8,32,97,721,2,1
5,42,97,612,2,1
12,37,41,2147,7,1
10,93,64,3024,9,1
2,85,64,2140,3,1
0,33,38,827,5,0
3,51,85,491,3,1
11,49,59,2440,3,1
12,38,66,145,4,1
8,88,65,2474,4,1
2,67,83,936,9,1
11,93,89,174,3,1
8,24,99,879,2,1
6,97,97,2108,3,1
11,58,92,1310,6,1
3,62,38,625,3,1
2,38,68,1780,4,0
9,94,88,1732,6,1
4,58,39,2142,1,0
4,78,59,1354,1,1
2,71,73,2305,5,1
11,69,91,1545,4,1
8,94,39,646,6,1
3,29,99,2575,1,0
10,34,49,1751,2,1
4,79,78,2624,5,1
3,54,75,454,7,1
4,54,75,144,6,1
6,20,94,2634,7,1
8,66,63,3244,2,1
6,82,78,441,6,1
12,37,45,1604,8,1
4,45,66,3446,7,1
9,79,69,667,7,1
9,37,78,2545,5,1
6,82,68,1630,10,1
9,60,77,561,9,1
4,62,64,3052,4,1
2,57,99,3004,1,1
6,46,57,1052,2,1
12,68,69,884,4,1
10,75,47,211,6,1
10,68,67,2897,1,1
1,60,81,1196,4,1
11,79,90,346,2,1
8,75,96,1274,7,1
9,95,76,1919,2,1
9,81,65,1674,1,1
11,81,42,1604,9,1
0,61,80,1059,7,1
12,47,44,2050,1,1
5,56,61,3499,2,1
6,39,80,1951,6,1
12,54,39,2678,1,1
7,73,32,2982,3,1
9,90,58,2520,10,1
8,25,44,709,9,1
1,38,38,426,8,1
10,27,60,899,2,1
9,67,98,468,8,1
1,85,32,1320,8,1
4,35,82,3078,2,0
12,43,42,329,4,1
4,44,37,171,6,1
5,32,69,3500,10,1
2,92,97,825,4,1
7,49,38,2942,1,0
12,28,93,2602,9,1
0,82,63,3296,4,1
5,59,94,1495,6,1
3,26,55,2016,5,0
0,99,63,734,10,1
6,51,57,329,9,1
8,80,44,2390,9,1
12,79,46,1500,5,1
3,70,40,1847,10,1
3,59,78,1301,9,1
5,98,50,1802,2,1
11,30,60,1264,3,1
2,92,57,1643,6,1
12,35,50,541,10,1
11,44,67,2694,8,1
5,51,84,1872,4,1
6,93,47,2811,1,1
10,29,53,1169,7,1
9,76,93,3120,8,1
9,60,71,3336,7,1
2,84,67,1567,7,1
6,51,68,376,3,1
2,67,100,3353,6,1
12,73,31,1964,5,1
12,94,93,2441,9,1
1,60,33,2305,6,0
11,80,82,3538,6,1
9,26,70,2162,5,1
3,72,100,228,2,1
11,72,98,2309,9,1
7,45,85,3361,7,1
12,80,31,3042,2,1
8,54,52,3579,7,1
6,22,32,1027,3,1
0,88,47,689,8,1
2,83,76,335,2,1
12,30,89,1794,9,1
11,25,73,2394,8,1
8,21,39,1796,2,1
11,96,36,441,2,1
0,84,48,1538,4,1
8,59,76,3527,9,1
7,34,51,1369,3,1
0,49,49,2611,5,0
5,25,71,1907,4,1
4,40,42,3118,6,1
5,76,93,1041,5,1
9,74,81,2773,9,1
11,82,88,3140,1,1
12,28,30,3423,4,1
12,71,62,126,6,1
12,56,53,939,9,1
4,89,84,3471,4,1
5,93,46,3396,8,1
4,28,54,2292,2,0
10,35,32,3008,2,1
11,51,57,2144,10,1
4,22,93,958,6,1
3,33,69,1944,9,1
2,40,94,3464,9,1
2,91,87,2166,8,1
3,66,63,1615,2,0
8,40,98,754,5,1
1,61,35,3176,3,0
8,36,93,980,5,1
0,59,40,3027,4,0
0,77,49,657,10,1
4,23,46,2421,8,0
5,61,69,2940,8,1
5,76,53,3303,7,1
2,55,36,801,7,1
6,71,33,1763,3,1
8,41,54,1970,7,1
10,87,72,2021,9,1
11,29,69,3503,7,1
9,43,51,851,8,1
7,54,47,556,4,1
5,97,42,1358,7,1
11,39,67,3523,7,1
7,71,98,2508,2,1
11,33,69,1062,10,1
4,58,72,1274,4,1
7,92,36,1897,4,1
9,53,33,2250,4,1
11,86,63,1456,2,1
3,95,34,1290,2,1
9,31,76,271,10,1
7,61,49,3596,7,1
9,50,63,376,6,1
11,90,49,336,6,1
1,28,99,3507,6,1
11,70,59,1762,4,1
11,56,92,2961,2,1
4,41,86,2345,1,1
8,28,88,1664,10,1
3,99,43,1771,2,1
10,83,58,3219,10,1
5,82,80,215,2,1
0,92,63,2703,10,1
8,31,67,327,2,1
0,46,62,2797,1,0
4,66,48,1576,1,1
3,92,78,622,1,1
12,47,35,1890,1,1
11,54,59,2203,6,1
12,57,69,3054,3,1
12,60,51,1809,1,1
2,86,36,917,4,1
12,75,56,3285,2,1
5,28,34,3287,2,0
1,22,80,1903,5,0
2,70,99,762,5,1
4,96,86,161,2,1
8,68,62,2031,1,1
1,99,59,1613,2,1
9,54,85,3453,7,1
7,35,38,2292,4,1
1,59,90,2109,5,1
10,88,30,2308,5,1
12,27,41,169,2,1
4,73,53,2321,2,1
6,52,53,2508,5,1
7,70,75,356,2,1
0,21,57,1789,10,0
5,57,73,1161,10,1
0,75,42,2665,9,1
1,39,46,1120,6,0
0,71,57,375,6,1
10,28,40,1758,2,1
4,84,60,159,5,1
9,85,71,1149,4,1
8,38,92,932,7,1
5,35,89,385,10,1
10,88,95,1970,2,1
10,39,90,2299,5,1
0,71,57,1573,9,1
12,33,81,3074,2,1
0,96,36,2363,6,1
1,54,93,3580,8,1
8,76,70,773,3,1
2,53,37,2407,4,0
0,78,75,2193,3,1
4,99,79,2099,10,1
6,47,67,2978,8,1
5,62,68,2278,7,1
11,54,99,2257,5,1
0,34,60,1293,6,0
4,22,78,193,9,1
4,46,33,1454,7,1
5,23,54,1606,8,1
2,41,65,2774,10,1
4,88,61,2035,6,1
6,42,70,3335,9,1
4,32,35,2427,4,0
4,79,41,3132,9,1
4,46,32,3058,1,0
9,69,46,509,3,1
9,98,72,1040,2,1
2,31,53,734,10,1
0,29,80,626,2,0
4,68,97,1368,1,1
8,54,62,1618,1,1
0,57,75,3109,7,1
2,73,69,1133,2,1
12,39,87,2309,3,1
12,31,48,2871,6,1
3,22,37,2745,10,1
0,21,40,1015,5,0
0,41,50,2078,3,0
7,54,35,2575,6,1
1,28,46,620,8,0
11,36,91,3411,1,1
7,33,95,706,10,1
6,51,96,316,1,1
9,78,42,3288,4,1
9,77,58,160,10,1
1,55,65,3134,10,1
5,52,45,2863,6,1
5,93,30,442,5,1
2,83,92,1060,1,1
10,32,77,1301,7,1
1,53,79,359,8,1
11,24,31,673,5,1
0,89,73,766,5,1
5,52,66,3082,9,1
11,24,72,1556,2,1
4,91,56,509,6,1
10,37,39,1359,10,1
8,37,77,2454,6,1
0,45,76,2317,7,0
6,39,65,2583,8,1
4,23,82,2433,7,1
4,41,34,1080,10,1
1,92,35,1944,7,1
10,28,56,1425,5,1
2,78,77,1512,6,1
6,52,39,591,3,1
5,26,99,1040,3,1
11,52,97,362,10,1
1,85,73,1535,3,1
5,91,91,1293,6,1
1,78,46,3506,7,1
1,54,100,415,9,1
1,51,83,595,3,1
10,20,87,702,4,1
2,71,43,2027,3,1
1,54,58,2878,2,0
3,59,33,905,1,0
8,63,84,2800,5,1
5,58,87,2711,6,1
0,39,90,1478,1,0
7,22,78,3118,8,1
11,72,55,141,1,1
6,31,54,3566,8,1
9,27,40,3284,1,0
2,83,31,643,10,1
0,60,85,2493,3,1
4,30,38,802,7,1
12,45,44,2391,7,1
3,57,83,2707,5,1
9,24,79,599,5,1
7,51,41,761,10,1
0,88,30,1519,6,0
9,34,96,727,8,1
0,80,57,235,10,1
11,71,84,1507,5,1
3,47,66,2056,7,1
7,38,73,553,5,1
4,73,41,823,9,1
1,100,41,1165,5,1
5,34,97,1720,6,1
4,32,43,383,6,1
1,42,40,1001,10,1
12,99,71,122,9,1
10,81,73,2730,6,1
10,44,71,154,2,1
10,51,31,2684,9,1
2,40,46,2504,4,0
8,20,69,1286,1,1
6,47,49,646,7,1
6,31,79,2922,6,1
10,98,49,3297,6,1
5,39,83,1890,10,1
7,70,90,417,5,1
3,45,41,2699,2,0
7,62,56,627,6,1
3,69,52,1774,1,0
7,93,81,2277,4,1
8,47,34,2884,8,1
2,45,72,1521,1,1
2,96,37,470,1,1
10,44,77,3431,8,1
12,50,97,3353,1,1
1,98,44,2651,5,1
12,37,45,1636,1,1
9,59,69,3374,8,1
2,86,76,3149,3,1
2,82,94,1612,2,1
4,30,60,3201,10,1
4,46,91,2376,3,1
1,56,47,2944,7,1
11,31,73,1692,2,1
9,47,74,3034,2,1
12,25,38,491,9,1
5,89,55,2107,7,1
4,63,30,1608,3,1
5,66,33,619,7,1
0,55,85,842,1,1
4,63,35,2873,9,1
8,88,32,3101,4,1
11,42,56,1794,3,1
9,42,99,1031,5,1
1,54,64,2156,2,0
0,88,47,1550,8,1
9,80,62,2292,2,1
12,100,77,2976,8,1
10,57,61,1709,1,1
8,71,78,2757,7,1
9,21,78,1977,9,1
8,38,56,2403,8,1
8,82,45,894,7,1
5,86,66,2959,7,1
7,42,47,959,6,1
10,45,82,537,2,1
12,49,35,3591,2,1
0,38,47,2550,4,0
9,58,67,2132,8,1
3,47,96,1421,5,1
0,92,48,2375,2,1
7,80,62,980,3,1
0,67,83,871,5,1
2,98,40,3117,5,1
12,32,32,761,5,1
3,30,66,2970,9,1
7,59,81,2250,7,1
5,70,70,1164,10,1
9,89,57,1776,4,1
11,99,65,2398,2,1
6,49,97,2645,5,1
7,49,45,1205,7,1
1,97,56,2572,9,1
12,73,44,2266,10,1
9,26,81,1390,8,1
10,86,33,659,1,1
7,29,89,2772,2,1
2,80,71,899,2,1
6,56,71,2133,7,1
2,34,82,3187,3,0
6,69,51,1715,8,1
10,23,47,2607,4,1
11,61,67,1364,8,1
12,87,97,3335,5,1
1,29,95,3030,10,1
9,41,96,833,7,1
5,50,58,1298,3,1
2,95,79,2124,5,1
2,92,75,1141,5,1
8,47,92,730,9,1
6,88,72,705,3,1
4,99,34,2878,3,1
11,38,33,1026,7,1
9,97,54,1940,10,1
6,66,76,595,6,1
8,43,72,3185,7,1
0,75,84,1561,2,1
6,30,89,3452,2,1
5,96,91,1040,3,1
9,93,44,977,10,1
11,73,94,2805,10,1
8,78,97,2984,4,1
0,84,47,1066,7,1
12,51,69,1001,6,1
3,37,94,2479,1,0
8,23,91,3547,9,1
3,99,39,2144,1,1
9,70,34,381,9,1
2,66,41,1915,6,1
8,73,30,3408,6,1
12,44,79,2402,2,1
1,29,60,1627,3,0
3,26,91,1491,10,1
5,84,56,2712,10,1
1,38,73,2131,6,1
7,26,49,2399,8,1
7,64,64,2548,2,1
0,97,37,2195,8,1
11,57,43,2922,6,1
2,26,76,218,7,1
9,65,94,1550,2,1
8,86,65,1385,10,1
4,94,36,1996,1,1
5,27,75,686,8,1
3,22,35,3101,1,0
9,31,79,3480,6,1
1,62,85,470,2,1
10,26,44,1016,6,1
7,67,94,1108,2,1
10,99,42,2446,3,1
12,64,78,715,7,1
5,44,74,1677,4,1
4,23,30,1996,3,0
8,23,93,1105,1,1
0,69,75,1398,7,1
4,77,38,1909,1,1
5,84,89,1125,5,1
4,86,85,1087,5,1
5,47,33,2816,7,1
5,94,39,849,4,1
6,56,72,2122,2,1
3,21,82,1303,7,1
10,92,38,1553,3,1
7,80,93,328,2,1
6,100,43,312,8,1
8,70,68,3002,5,1
6,50,30,3595,5,1
2,100,47,187,6,1
2,100,70,2889,1,1
7,62,90,644,6,1
